sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NRLAR-22-ESBL-22-0863-1-FH20_1 NRLAR-22-ESBL-22-0863-1-FH20 #1	1	350862	0.5015419167649959	05416040588538ec43feee569b61d0a5	-	-	-	-	-	-	-	-	non-mobilizable	CP023686	0.243761	Zymomonas mobilis subsp. mobilis	AE283	AO032	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_2 NRLAR-22-ESBL-22-0863-1-FH20 #2	1	322793	0.5134002286294932	36870033f9fc5314668f52fcc97f45ee	-	-	-	-	-	-	-	-	non-mobilizable	CP042589	0.186761	Escherichia coli	AB718	AK607	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_3 NRLAR-22-ESBL-22-0863-1-FH20 #3	1	262029	0.5007918970800942	b4aec31d3fd7830fcf3ad9dcf7d38a09	-	-	-	-	-	-	-	-	non-mobilizable	CP030003	0.197292	Salmonella enterica subsp. enterica serovar Brandenburg	AA473	AI590	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_4 NRLAR-22-ESBL-22-0863-1-FH20 #4	1	228831	0.5157736495492307	bf4d195c015f2b5e872685274ef81a6e	-	-	-	-	-	-	-	-	non-mobilizable	CP008907	0.182269	Enterobacter hormaechei subsp. hoffmannii ECR091	AA425	AI486	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_5 NRLAR-22-ESBL-22-0863-1-FH20 #5	1	209182	0.5184482264078784	59bec9fea137733f4cdfe098aefd5150	-	-	-	-	-	-	-	-	non-mobilizable	KY563785	0.197292	Escherichia coli	AB949	AK934	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_6 NRLAR-22-ESBL-22-0863-1-FH20 #6	1	195245	0.5077466772516581	746f632fb67f6c6a5fa7107cc76c990c	-	-	-	-	-	-	-	-	non-mobilizable	CP042902	0.197292	Escherichia coli	AA887	AJ321	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_7 NRLAR-22-ESBL-22-0863-1-FH20 #7	1	167399	0.49975208931952997	227a70ea4823b1ed5f8321bc48e68208	-	-	-	-	-	-	-	-	non-mobilizable	CP019456	0.243761	Escherichia coli	AA321	AI210	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_8 NRLAR-22-ESBL-22-0863-1-FH20 #8	1	157905	0.4935182546467813	6126cf3ca616f2c69399381277645e19	-	-	-	-	-	-	-	-	non-mobilizable	CP022155	0.197292	Escherichia coli	AA056	AH653	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_9 NRLAR-22-ESBL-22-0863-1-FH20 #9	1	152357	0.5122048872057077	03ad59f2800cad4dd78dc4cc1eca47c9	-	-	-	-	-	-	-	-	non-mobilizable	CP012732	0.111073	Shigella flexneri 1a	AD446	AN005	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_10 NRLAR-22-ESBL-22-0863-1-FH20 #10	1	148403	0.5265402939412522	96dfaa8a8cb23559d6b95398d6ff2f35	-	-	-	-	-	-	-	-	non-mobilizable	CP031295	0.182269	Escherichia coli	AA326	AI223	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_11 NRLAR-22-ESBL-22-0863-1-FH20 #11	1	142869	0.4803281327649805	5d8a48b7035e524a79559e30be1c547c	-	-	-	-	-	-	-	-	non-mobilizable	CP015420	0.295981	Rhodovulum sulfidophilum DSM 1374	AF341	AP281	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_12 NRLAR-22-ESBL-22-0863-1-FH20 #12	1	141251	0.4985097450637518	db4284dc96a855caeb2f802b419fc0af	-	-	-	-	-	-	-	-	non-mobilizable	CP041451	0.197292	Escherichia coli	AA746	AJ069	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_13 NRLAR-22-ESBL-22-0863-1-FH20 #13	1	141001	0.5086559669789575	24b70c0d8eb32020456215723c360a41	-	-	-	-	-	-	-	-	non-mobilizable	CP027119	0.295981	Escherichia coli	AA174	AH839	-	-	-	-	-	-	-
